FID,osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,pid,ORIG_FID,Lon,Lat
0,27336706,5122,residential, , ,B,0,0,F,F,1,0,113.270477,23.106894
1,27336706,5122,residential, , ,B,0,0,F,F,1,0,113.270888,23.106707
2,27336706,5122,residential, , ,B,0,0,F,F,1,0,113.2713,23.10652
3,27336706,5122,residential, , ,B,0,0,F,F,1,0,113.271711,23.106333
4,27336706,5122,residential, , ,B,0,0,F,F,1,0,113.272122,23.106146
5,27336706,5122,residential, , ,B,0,0,F,F,1,0,113.272299,23.106084
6,27336706,5122,residential, , ,B,0,0,F,F,1,0,113.272752,23.105925
7,27336706,5122,residential, , ,B,0,0,F,F,1,0,113.273205,23.105766
8,27336706,5122,residential, , ,B,0,0,F,F,1,0,113.273658,23.105608
9,27336706,5122,residential, , ,B,0,0,F,F,1,0,113.274111,23.105449
10,27336706,5122,residential, , ,B,0,0,F,F,1,0,113.274571,23.105368
11,27336706,5122,residential, , ,B,0,0,F,F,1,0,113.275032,23.105287
12,27336706,5122,residential, , ,B,0,0,F,F,1,0,113.275492,23.105206
13,27336706,5122,residential, , ,B,0,0,F,F,1,0,113.275953,23.105125
14,27336706,5122,residential, , ,B,0,0,F,F,1,0,113.276413,23.105044
15,27336706,5122,residential, , ,B,0,0,F,F,1,0,113.276874,23.104962
16,27336706,5122,residential, , ,B,0,0,F,F,1,0,113.277335,23.104881
17,27336706,5122,residential, , ,B,0,0,F,F,1,0,113.277795,23.1048
18,27336706,5122,residential, , ,B,0,0,F,F,1,0,113.278256,23.104719
19,27336706,5122,residential, , ,B,0,0,F,F,1,0,113.278549,23.104639
20,27336706,5122,residential, , ,B,0,0,F,F,1,0,113.278843,23.10456
21,30440816,5153,footway,Lychee Bay Street, ,B,0,0,F,F,1,1,113.231274,23.123459
22,30440816,5153,footway,Lychee Bay Street, ,B,0,0,F,F,1,1,113.231365,23.123501
23,30440816,5153,footway,Lychee Bay Street, ,B,0,0,F,F,1,1,113.231322,23.123635
24,30440816,5153,footway,Lychee Bay Street, ,B,0,0,F,F,1,1,113.231299,23.123705
25,30440816,5153,footway,Lychee Bay Street, ,B,0,0,F,F,1,1,113.231143,23.123628
26,30440816,5153,footway,Lychee Bay Street, ,B,0,0,F,F,1,1,113.231065,23.123577
27,30440816,5153,footway,Lychee Bay Street, ,B,0,0,F,F,1,1,113.23087,23.123271
28,30440816,5153,footway,Lychee Bay Street, ,B,0,0,F,F,1,1,113.230593,23.122933
29,30440816,5153,footway,Lychee Bay Street, ,B,0,0,F,F,1,1,113.230317,23.122595
30,30440816,5153,footway,Lychee Bay Street, ,B,0,0,F,F,1,1,113.230041,23.122257
31,30440816,5153,footway,Lychee Bay Street, ,B,0,0,F,F,1,1,113.229806,23.122
32,30440816,5153,footway,Lychee Bay Street, ,B,0,0,F,F,1,1,113.229571,23.121743
33,30440816,5153,footway,Lychee Bay Street, ,B,0,0,F,F,1,1,113.229336,23.121486
34,30440816,5153,footway,Lychee Bay Street, ,B,0,0,F,F,1,1,113.228884,23.121368
35,30440816,5153,footway,Lychee Bay Street, ,B,0,0,F,F,1,1,113.228433,23.121251
36,30440816,5153,footway,Lychee Bay Street, ,B,0,0,F,F,1,1,113.228114,23.121054
37,30440816,5153,footway,Lychee Bay Street, ,B,0,0,F,F,1,1,113.227795,23.120858
38,34323888,5153,footway, , ,B,0,0,F,F,1,2,113.295578,23.178716
39,34323888,5153,footway, , ,B,0,0,F,F,1,2,113.29552,23.178695
40,34323888,5153,footway, , ,B,0,0,F,F,1,2,113.295463,23.178678
41,34323888,5153,footway, , ,B,0,0,F,F,1,2,113.295382,23.178661
42,34323888,5153,footway, , ,B,0,0,F,F,1,2,113.29527,23.178618
43,34323888,5153,footway, , ,B,0,0,F,F,1,2,113.295181,23.178584
44,34323888,5153,footway, , ,B,0,0,F,F,1,2,113.295103,23.178567
45,34323888,5153,footway, , ,B,0,0,F,F,1,2,113.295045,23.178558
46,34323888,5153,footway, , ,B,0,0,F,F,1,2,113.295019,23.178512
47,34323888,5153,footway, , ,B,0,0,F,F,1,2,113.294961,23.17851
48,34323888,5153,footway, , ,B,0,0,F,F,1,2,113.294875,23.178538
49,34323888,5153,footway, , ,B,0,0,F,F,1,2,113.294818,23.17857
