FID,Join_Count,TARGET_FID,Id,osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,pid,Lon,Lat
70,3,160,0,249333029,5122,residential, , ,B,0,0,F,F,1,113.234386,23.138468
71,5,161,0,449691088,5115,tertiary,富康路, ,B,0,0,F,F,1,113.235239,23.180155
72,2,162,0,452827757,5115,tertiary,富康路, ,F,0,0,F,F,1,113.235351,23.180705
73,3,163,0,249333038,5122,residential, , ,B,0,0,F,F,1,113.234668,23.13915
74,4,164,0,183554710,5122,residential, , ,B,0,0,F,F,1,113.234604,23.133557
75,2,165,0,184497071,5122,residential, , ,B,0,0,F,F,1,113.234622,23.131185
76,4,166,0,185175530,5122,residential, , ,B,0,0,F,F,1,113.234676,23.131806
77,3,167,0,185175545,5122,residential, , ,B,0,0,F,F,1,113.23469,23.132138
78,3,169,0,185175551,5122,residential, , ,B,0,0,F,F,1,113.234965,23.133464
79,3,170,0,249333029,5122,residential, , ,B,0,0,F,F,1,113.235137,23.138059
80,4,171,0,181034011,5122,residential,彭城东路, ,B,0,0,F,F,1,113.235323,23.145137
81,2,174,0,249333042,5155,steps, , ,B,0,0,T,F,1,113.235287,23.13798
82,2,177,0,249333044,5153,footway, , ,B,0,1,T,F,1,113.235435,23.137945
83,2,178,0,183554710,5122,residential, , ,B,0,0,F,F,1,113.235405,23.135627
84,2,179,0,282005516,5122,residential, , ,B,0,0,T,F,1,113.235426,23.135865
85,3,180,0,249333049,5122,residential, , ,B,0,0,F,F,1,113.235547,23.138861
86,4,184,0,337135526,5121,unclassified, , ,B,0,0,F,F,1,113.236837,23.185509
87,2,188,0,282005523,5122,residential, , ,B,0,0,F,F,1,113.236248,23.136682
88,3,202,0,330661561,5122,residential,沙涌西街, ,B,0,0,F,F,1,113.238649,23.084793
89,3,203,0,330661561,5122,residential,沙涌西街, ,B,0,0,F,F,1,113.238754,23.084529
90,3,204,0,330661561,5122,residential,沙涌西街, ,B,0,0,F,F,1,113.238862,23.084253
91,3,205,0,330656391,5122,residential, , ,B,0,0,F,F,1,113.238931,23.082761
92,3,206,0,330661561,5122,residential,沙涌西街, ,B,0,0,F,F,1,113.23897,23.083976
93,3,207,0,330656391,5122,residential, , ,B,0,0,F,F,1,113.239026,23.082794
94,3,208,0,330661562,5122,residential, , ,B,0,0,F,F,1,113.239108,23.083607
95,3,210,0,330656397,5122,residential, , ,B,0,0,F,F,1,113.239227,23.081917
96,3,214,0,330656393,5122,residential,培真路, ,B,0,0,F,F,1,113.239499,23.081141
97,3,216,0,330656391,5122,residential, , ,B,0,0,F,F,1,113.239623,23.082999
98,4,217,0,330656389,5122,residential,沙涌新村一巷, ,B,0,0,F,F,1,113.239669,23.085069
99,4,218,0,330656386,5122,residential,沙涌新村二巷, ,B,0,0,F,F,1,113.239767,23.084788
100,3,219,0,330661559,5122,residential,沙涌新村三巷, ,B,0,0,F,F,1,113.239845,23.084561
101,3,220,0,330661560,5122,residential,沙涌新村四巷, ,B,0,0,F,F,1,113.239939,23.084262
102,3,221,0,330661558,5122,residential,沙涌中街, ,B,0,0,F,F,1,113.240014,23.08402
103,3,222,0,330656383,5122,residential,鹤翔路, ,B,0,0,F,F,1,113.240054,23.083895
104,4,223,0,310767998,5122,residential, , ,B,0,0,F,F,1,113.240903,23.133759
105,3,224,0,330656391,5122,residential, , ,B,0,0,F,F,1,113.240169,23.083187
106,3,227,0,330661556,5122,residential, , ,B,0,0,F,F,1,113.240721,23.08251
107,3,228,0,330656386,5122,residential,沙涌新村二巷, ,B,0,0,F,F,1,113.240782,23.085047
108,3,229,0,330656386,5122,residential,沙涌新村二巷, ,B,0,0,F,F,1,113.240898,23.08526
109,4,230,0,330656393,5122,residential,培真路, ,B,0,0,F,F,1,113.241261,23.081767
110,3,240,0,322009918,5122,residential, , ,B,0,0,F,F,1,113.245156,23.173568
111,2,241,0,146677769,5122,residential, , ,B,0,0,F,F,1,113.244563,23.129661
112,3,242,0,146677760,5122,residential, , ,B,0,0,F,F,1,113.244705,23.130658
113,2,243,0,255750929,5122,residential,沙涌北大街, ,B,0,0,F,F,1,113.245777,23.171329
114,3,248,0,190394499,5122,residential,乐嘉路, ,B,0,0,F,F,1,113.247559,23.171182
